Class	Accuracy	Right_Instances	Total_Instances
0	95.3061224489796	934.0	980.0
1	95.06607929515418	1079.0	1135.0
2	11.918604651162791	123.0	1032.0
3	11.089108910891088	112.0	1010.0
4	0.0	0.0	982.0
5	0.0	0.0	892.0
6	90.29227557411274	865.0	958.0
7	90.95330739299611	935.0	1028.0
8	81.3141683778234	792.0	974.0
9	71.85332011892963	725.0	1009.0
