Action	Reward
{'layer0_col698': [0, 699]}	tensor(0.8891)
{'layer0_row459': [0, 459]}	tensor(0.8892)
{'layer2_col453': [2, 9]}	tensor(0.8903)
{'layer2_col242': [2, 9]}	tensor(0.8890)
{'layer2_col247': [2, 9]}	tensor(0.8891)
{'layer1_col43': [1, 499]}	tensor(0.8890)
{'layer0_col554': [0, 699]}	tensor(0.8900)
{'layer1_col63': [1, 499]}	tensor(0.8893)
{'layer1_col524': [1, 499]}	tensor(0.8893)
{'layer0_col329': [0, 699]}	tensor(0.8888)
{'layer0_col189': [0, 699]}	tensor(0.8888)
{'layer1_row169': [1, 169]}	tensor(0.8893)
{'layer1_col418': [1, 499]}	tensor(0.8895)
{'layer0_row423': [0, 423]}	tensor(0.8891)
{'layer1_row496': [1, 496]}	tensor(0.8887)
{'layer0_col394': [0, 699]}	tensor(0.8893)
{'layer1_row403': [1, 403]}	tensor(0.8895)
{'layer0_row244': [0, 244]}	tensor(0.8893)
{'layer0_row72': [0, 72]}	tensor(0.8898)
{'layer0_col126': [0, 699]}	tensor(0.8892)
{'layer0_row60': [0, 60]}	tensor(0.8890)
{'layer1_row102': [1, 102]}	tensor(0.8896)
{'layer0_col217': [0, 699]}	tensor(0.8891)
{'layer0_row281': [0, 281]}	tensor(0.8891)
{'layer0_row681': [0, 681]}	tensor(0.8891)
{'layer1_col657': [1, 499]}	tensor(0.8890)
{'layer0_row401': [0, 401]}	tensor(0.8891)
{'layer0_row395': [0, 395]}	tensor(0.8896)
{'layer1_col636': [1, 499]}	tensor(0.8897)
{'layer0_row417': [0, 417]}	tensor(0.8889)
{'layer1_col126': [1, 499]}	tensor(0.8895)
{'layer1_row308': [1, 308]}	tensor(0.8891)
{'layer0_col508': [0, 699]}	tensor(0.8889)
{'layer2_col449': [2, 9]}	tensor(0.8907)
{'layer2_col471': [2, 9]}	tensor(0.8898)
{'layer1_row388': [1, 388]}	tensor(0.8902)
{'layer1_row40': [1, 40]}	tensor(0.8899)
{'layer1_col133': [1, 499]}	tensor(0.8891)
{'layer0_row607': [0, 607]}	tensor(0.8894)
{'layer1_row249': [1, 249]}	tensor(0.8896)
{'layer1_col696': [1, 499]}	tensor(0.8884)
{'layer2_col496': [2, 9]}	tensor(0.8894)
{'layer1_col359': [1, 499]}	tensor(0.8893)
{'layer1_col460': [1, 499]}	tensor(0.8899)
{'layer0_col777': [0, 699]}	tensor(0.8889)
{'layer0_col232': [0, 699]}	tensor(0.8892)
{'layer1_col387': [1, 499]}	tensor(0.8895)
{'layer0_col278': [0, 699]}	tensor(0.8889)
{'layer2_col365': [2, 9]}	tensor(0.8894)
{'layer0_row345': [0, 345]}	tensor(0.8896)
{'layer2_col410': [2, 9]}	tensor(0.8875)
{'layer0_row318': [0, 318]}	tensor(0.8883)
{'layer2_col328': [2, 9]}	tensor(0.8889)
{'layer0_row258': [0, 258]}	tensor(0.8871)
{'layer0_col388': [0, 699]}	tensor(0.8879)
{'layer1_row400': [1, 400]}	tensor(0.8868)
