Class	Accuracy	Right_Instances	Total_Instances
0	97.58828596037898	1133.0	1161.0
1	97.68451519536903	1350.0	1382.0
2	95.02948609941028	1128.0	1187.0
3	94.16932907348243	1179.0	1252.0
4	95.8656330749354	1113.0	1161.0
5	94.95238095238095	997.0	1050.0
6	97.52270850536746	1181.0	1211.0
7	97.57869249394673	1209.0	1239.0
8	94.33643279797126	1116.0	1183.0
9	94.71890971039183	1112.0	1174.0
