Class	Accuracy	Right_Instances	Total_Instances
0	93.56913183279742	1164.0	1244.0
1	94.84536082474227	1288.0	1358.0
2	89.08941755537326	1086.0	1219.0
3	82.67918088737201	969.0	1172.0
4	91.24149659863946	1073.0	1176.0
5	77.16105550500455	848.0	1099.0
6	95.86846543001687	1137.0	1186.0
7	86.27287853577371	1037.0	1202.0
8	76.34124890061565	868.0	1137.0
9	86.16404308202154	1040.0	1207.0
