Class	Accuracy	Right_Instances	Total_Instances
0	96.0	1176.0	1225.0
1	96.53929343907714	1339.0	1387.0
2	87.85834738617201	1042.0	1186.0
3	87.93650793650794	1108.0	1260.0
4	92.51934651762683	1076.0	1163.0
5	85.00948766603416	896.0	1054.0
6	93.26845093268452	1150.0	1233.0
7	92.94503691550452	1133.0	1219.0
8	86.89075630252101	1034.0	1190.0
9	91.2280701754386	988.0	1083.0
