Class	Accuracy	Right_Instances	Total_Instances
0	94.79591836734694	929.0	980.0
1	96.29955947136564	1093.0	1135.0
2	83.91472868217055	866.0	1032.0
3	86.73267326732673	876.0	1010.0
4	83.19755600814663	817.0	982.0
5	0.0	0.0	892.0
6	91.44050104384134	876.0	958.0
7	88.03501945525292	905.0	1028.0
8	0.0	0.0	974.0
9	51.43706640237859	519.0	1009.0
