Class	Accuracy	Right_Instances	Total_Instances
0	93.6734693877551	918.0	980.0
1	94.97797356828194	1078.0	1135.0
2	74.12790697674419	765.0	1032.0
3	38.01980198019802	384.0	1010.0
4	84.21588594704684	827.0	982.0
5	0.0	0.0	892.0
6	87.2651356993737	836.0	958.0
7	0.09727626459143969	1.0	1028.0
8	85.93429158110882	837.0	974.0
9	81.56590683845391	823.0	1009.0
