Class	Accuracy	Right_Instances	Total_Instances
0	97.62114537444934	1108.0	1135.0
1	97.22846441947566	1298.0	1335.0
2	0.0	0.0	1184.0
3	92.49174917491749	1121.0	1212.0
4	96.07672188317349	1102.0	1147.0
5	0.0	0.0	1079.0
6	96.51741293532338	1164.0	1206.0
7	90.89517980107115	1188.0	1307.0
8	90.28475711892797	1078.0	1194.0
9	87.59367194004996	1052.0	1201.0
