Class	Accuracy	Right_Instances	Total_Instances
0	97.33447979363714	1132.0	1163.0
1	95.76453697056712	1334.0	1393.0
2	89.70840480274443	1046.0	1166.0
3	88.54660347551342	1121.0	1266.0
4	92.92576419213974	1064.0	1145.0
5	0.0	0.0	1073.0
6	95.5223880597015	1152.0	1206.0
7	87.4487284659557	1066.0	1219.0
8	90.9965034965035	1041.0	1144.0
9	88.24489795918367	1081.0	1225.0
