Class	Accuracy	Right_Instances	Total_Instances
0	96.0204081632653	941.0	980.0
1	97.00440528634361	1101.0	1135.0
2	81.0077519379845	836.0	1032.0
3	82.37623762376238	832.0	1010.0
4	92.66802443991854	910.0	982.0
5	56.16591928251121	501.0	892.0
6	94.57202505219206	906.0	958.0
7	81.32295719844358	836.0	1028.0
8	73.40862422997947	715.0	974.0
9	0.0	0.0	1009.0
